INFO:root:The following files are redundant: ['./1/2000-1-1-0.0.jpg']
INFO:root:The following files are redundant: ['./1/1.jpg']
INFO:root:The following files are redundant: ['/home/qiaoli/t_drive/other_pics/picture/2007/2007.7.21 CSSA \xe8\x81\x9a\xe4\xbc\x9a/scratch_dir/2007-06-23-08.51.32.jpg']
INFO:root:The following files are redundant: ['/home/qiaoli/t_drive/other_pics/picture/2006/2006.8.19~27 pittsburgh/scratch_dir/2006-08-23-00.34.57.jpg']
INFO:root:The following files are redundant: ['/home/qiaoli/t_drive/other_pics/picture/2006/2006.8.19~27 pittsburgh/scratch_dir/2006-08-21-06.10.17.jpg']
INFO:root:The following files are redundant: ['/home/qiaoli/t_drive/other_pics/picture/\xe6\x8b\xb7\xe7\x85\xa7\xe7\x89\x87/2012.12 Vegas/scratch_dir/2012-12-30-19.45.28.jpg']
INFO:root:The following files are redundant: ['/home/qiaoli/t_drive/other_pics/picture/\xe6\x8b\xb7\xe7\x85\xa7\xe7\x89\x87/2012.12 Vegas/scratch_dir/2012-12-27-12.33.08.jpg']
INFO:root:The following files are redundant: ['/home/qiaoli/t_drive/other_pics/picture/\xe6\x8b\xb7\xe7\x85\xa7\xe7\x89\x87/2012.12 Vegas/scratch_dir/2012-12-27-12.33.02.jpg']
INFO:root:The following files are redundant: ['/home/qiaoli/t_drive/other_pics/picture/2009/2009 wedding/\xe5\xa9\x9a\xe7\xba\xb1\xe7\x85\xa7/\xe5\xa9\x9a\xe7\xba\xb1\xe7\x85\xa7\xe8\xae\xbe\xe8\xae\xa1\xe7\x89\x88/16\xe5\xaf\xb8\xe7\x9a\xae\xe9\x9b\x95\xe5\x86\x8c18\xe9\xa1\xb5/scratch_dir/2009-10-21-14.32.13.jpg']
INFO:root:The following files are redundant: ['/home/qiaoli/t_drive/other_pics/picture/\xe6\x8b\xb7\xe7\x85\xa7\xe7\x89\x87/2012.8 GreatSmokeyMountain&OuterBanks/day 7 VirginiaBeach/scratch_dir/2012-08-25-19.06.23.jpg']
INFO:root:The following files are redundant: ['/home/qiaoli/t_drive/other_pics/picture/\xe6\x8b\xb7\xe7\x85\xa7\xe7\x89\x87/2012.12 Vegas/scratch_dir/2012-12-26-18.58.58.jpg']
INFO:root:The following files are redundant: ['/home/qiaoli/t_drive/other_pics/picture/\xe6\x8b\xb7\xe7\x85\xa7\xe7\x89\x87/2012.12 Vegas/scratch_dir/2012-12-26-18.58.52.jpg']
